Line	MM/DD/YY hh:mm:ss.ms.us	DTE(hex)	DCE(hex)
362	02/27/18 16:21:19.423.391		17 04 00 58 58 01 0a 
363	02/27/18 16:21:19.423.997		ca 00 04 ff 00 00 05 03 
364	02/27/18 16:21:19.424.689		00 02 08 01 04 00 01 00 
365	02/27/18 16:21:19.425.381		00 00 00 00 00 00 00 00 
366	02/27/18 16:21:19.426.074		00 00 00 00 00 00 00 00 
367	02/27/18 16:21:19.426.766		63 63 63 63 c5 8a 
368	02/27/18 16:21:19.562.518	02 02 00 08 02 	
369	02/27/18 16:21:19.582.703		02 02 2e cd ae 00 04 a0 
370	02/27/18 16:21:19.583.395		b7 04 00 58 58 01 0a 
371	02/27/18 16:21:19.584.001		ca 00 04 ff 00 00 05 03 
372	02/27/18 16:21:19.584.693		00 01 f8 01 04 00 01 00 
373	02/27/18 16:21:19.585.386		00 00 00 00 00 00 00 00 
374	02/27/18 16:21:19.586.078		00 00 00 00 00 00 00 00 
375	02/27/18 16:21:19.586.770		63 63 63 63 77 2f 
376	02/27/18 16:21:19.718.770	02 02 00 08 02 	
377	02/27/18 16:21:19.732.707		02 02 2e cd ae 00 04 a1 
378	02/27/18 16:21:19.733.399		4d 04 00 58 58 01 0a 
379	02/27/18 16:21:19.734.005		ca 00 04 ff 00 00 05 03 
380	02/27/18 16:21:19.734.697		00 01 e9 01 04 00 01 00 
381	02/27/18 16:21:19.735.389		00 00 00 00 00 00 00 00 
382	02/27/18 16:21:19.736.082		00 00 00 00 00 00 00 00 
383	02/27/18 16:21:19.736.774		63 63 63 63 30 59 
384	02/27/18 16:21:19.875.023	02 02 00 08 02 	
385	02/27/18 16:21:19.892.711		02 02 2e cd ae 00 04 a1 
386	02/27/18 16:21:19.893.403		ed 04 00 58 58 01 0a 
387	02/27/18 16:21:19.894.009		ca 00 04 ff 00 00 05 03 
388	02/27/18 16:21:19.894.701		00 01 d9 01 04 00 01 00 
389	02/27/18 16:21:19.895.394		00 00 00 00 00 00 00 00 
390	02/27/18 16:21:19.896.086		00 00 00 00 00 00 00 00 
391	02/27/18 16:21:19.896.779		63 63 63 63 3a ac 
392	02/27/18 16:21:20.031.275	02 02 00 08 02 	
